Yzero,1.9200000,,-285.39999039E-6,3.00000014E3,,Yzero,-1.2800000,,-285.39999039E-6,-72.000004351E-3,,Yzero,-440.000000000E-3,,-285.39999039E-6,-479.999989271E-3,
Probe Atten,1.0000000E3,,-285.19998887E-6,2.6000001E3,,Probe Atten,1.000000,,-285.19998887E-6,-72.000004351E-3,,Probe Atten,10.0000000,,-285.19998887E-6,-479.999989271E-3,
,,,-284.99998734E-6,2.80000013E3,,,,,-284.99998734E-6,-80.000005662E-3,,,,,-284.99998734E-6,-519.999980927E-3,
Note,TDS 2004B - 5:09:17 PM   9/28/2018,,-284.79998582E-6,2.6000001E3,,Note,TDS 2004B - 5:09:17 PM   9/28/2018,,-284.79998582E-6,-72.000004351E-3,,Note,TDS 2004B - 5:09:17 PM   9/28/2018,,-284.79998582E-6,-519.999980927E-3,
,,,-284.59998430E-6,2.6000001E3,,,,,-284.59998430E-6,-80.000005662E-3,,,,,-284.59998430E-6,-519.999980927E-3,
,,,-284.39998277E-6,3.00000014E3,,,,,-284.39998277E-6,-80.000005662E-3,,,,,-284.39998277E-6,-519.999980927E-3,
,,,-284.19998125E-6,2.6000001E3,,,,,-284.19998125E-6,-88.000006974E-3,,,,,-284.19998125E-6,-560.000002384E-3,
,,,-283.99997973E-6,2.6000001E3,,,,,-283.99997973E-6,-88.000006974E-3,,,,,-283.99997973E-6,-560.000002384E-3,
,,,-283.79997821E-6,2.80000013E3,,,,,-283.79997821E-6,-96.000000834E-3,,,,,-283.79997821E-6,-560.000002384E-3,
,,,-283.59997668E-6,2.4000001E3,,,,,-283.59997668E-6,-80.000005662E-3,,,,,-283.59997668E-6,-560.000002384E-3,
,,,-283.39997516E-6,2.6000001E3,,,,,-283.39997516E-6,-88.000006974E-3,,,,,-283.39997516E-6,-519.999980927E-3,
,,,-283.19997364E-6,2.2000001E3,,,,,-283.19997364E-6,-88.000006974E-3,,,,,-283.19997364E-6,-479.999989271E-3,
,,,-282.99997211E-6,2.4000001E3,,,,,-282.99997211E-6,-96.000000834E-3,,,,,-282.99997211E-6,-560.000002384E-3,
