
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"9/28/2018 16:39:45";"495";"1";"0";"496";"91.7";
"9/28/2018 16:39:46";"495";"1";"0";"496";"91.7";
"9/28/2018 16:39:47";"494";"1";"0";"495";"91.7";
"9/28/2018 16:39:48";"493";"1";"0";"494";"91.7";
"9/28/2018 16:39:49";"492";"1";"0";"493";"91.8";
"9/28/2018 16:39:50";"491";"1";"0";"492";"91.8";
"9/28/2018 16:39:51";"489";"2";"0";"491";"91.8";
"9/28/2018 16:39:53";"487";"2";"0";"489";"91.8";
"9/28/2018 16:39:54";"486";"2";"0";"488";"91.9";
"9/28/2018 16:39:55";"485";"3";"0";"488";"91.8";
"9/28/2018 16:39:56";"484";"3";"0";"487";"91.8";
"9/28/2018 16:39:57";"482";"3";"0";"485";"91.8";
"9/28/2018 16:39:58";"481";"3";"0";"484";"91.8";
"9/28/2018 16:39:59";"480";"4";"0";"484";"91.8";
"9/28/2018 16:40:00";"480";"4";"0";"484";"91.8";
"9/28/2018 16:40:01";"479";"4";"0";"483";"91.8";
"9/28/2018 16:40:02";"476";"5";"0";"483";"91.8";
"9/28/2018 16:40:03";"475";"5";"0";"480";"91.8";
"9/28/2018 16:40:05";"474";"6";"0";"480";"91.8";
"9/28/2018 16:40:06";"473";"6";"0";"479";"91.8";
"9/28/2018 16:40:07";"472";"6";"0";"478";"91.8";
"9/28/2018 16:40:08";"471";"8";"0";"479";"91.8";
"9/28/2018 16:40:09";"470";"8";"0";"478";"91.8";
"9/28/2018 16:40:10";"469";"9";"0";"478";"91.8";
"9/28/2018 16:40:11";"469";"9";"0";"478";"91.8";
"9/28/2018 16:40:12";"468";"10";"0";"478";"91.8";
"9/28/2018 16:40:13";"467";"10";"0";"477";"91.8";
"9/28/2018 16:40:14";"466";"11";"0";"477";"91.8";
"9/28/2018 16:40:15";"465";"11";"0";"476";"91.9";
"9/28/2018 16:40:17";"464";"12";"0";"476";"91.9";
"9/28/2018 16:40:18";"463";"12";"0";"475";"91.8";
"9/28/2018 16:40:19";"462";"12";"0";"474";"91.8";
"9/28/2018 16:40:20";"462";"13";"0";"475";"91.8";
"9/28/2018 16:40:21";"461";"14";"0";"475";"91.7";
"9/28/2018 16:40:22";"460";"14";"0";"474";"91.7";
"9/28/2018 16:40:23";"460";"15";"0";"475";"91.7";
"9/28/2018 16:40:24";"458";"15";"0";"474";"91.7";
"9/28/2018 16:40:25";"458";"16";"0";"474";"91.7";
"9/28/2018 16:40:27";"457";"16";"0";"473";"91.7";
"9/28/2018 16:40:28";"457";"17";"0";"474";"91.7";
"9/28/2018 16:40:29";"457";"17";"0";"474";"91.7";
"9/28/2018 16:40:30";"456";"17";"0";"473";"91.8";
"9/28/2018 16:40:31";"455";"18";"0";"473";"91.8";
"9/28/2018 16:40:32";"455";"18";"0";"473";"91.8";
"9/28/2018 16:40:33";"453";"19";"2";"472";"91.8";
"9/28/2018 16:40:34";"452";"19";"2";"471";"91.8";
"9/28/2018 16:40:36";"452";"19";"2";"471";"91.7";
"9/28/2018 16:40:37";"451";"20";"2";"471";"91.7";
"9/28/2018 16:40:38";"451";"20";"3";"471";"91.7";
"9/28/2018 16:40:39";"450";"20";"3";"470";"91.7";
"9/28/2018 16:40:40";"449";"21";"5";"470";"91.7";
"9/28/2018 16:40:41";"449";"21";"5";"470";"91.7";
"9/28/2018 16:40:42";"448";"21";"6";"469";"91.7";
"9/28/2018 16:40:43";"448";"22";"6";"470";"91.7";
"9/28/2018 16:40:45";"447";"22";"5";"469";"91.7";
"9/28/2018 16:40:46";"447";"22";"5";"469";"91.7";
"9/28/2018 16:40:47";"447";"22";"5";"469";"91.7";
"9/28/2018 16:40:48";"446";"23";"5";"469";"91.7";
"9/28/2018 16:40:49";"446";"23";"5";"469";"91.7";
"9/28/2018 16:40:50";"446";"23";"5";"469";"91.7";
"9/28/2018 16:40:51";"446";"24";"5";"470";"91.7";
"9/28/2018 16:40:52";"445";"24";"5";"469";"91.7";
"9/28/2018 16:40:53";"444";"25";"5";"469";"91.7";
"9/28/2018 16:40:54";"444";"25";"5";"469";"91.7";
"9/28/2018 16:40:56";"444";"25";"4";"469";"91.7";
"9/28/2018 16:40:57";"443";"25";"4";"468";"91.7";
"9/28/2018 16:40:58";"443";"26";"4";"469";"91.6";
"9/28/2018 16:40:59";"443";"26";"3";"469";"91.6";
"9/28/2018 16:41:00";"443";"27";"3";"470";"91.5";
"9/28/2018 16:41:01";"442";"27";"3";"469";"91.5";
"9/28/2018 16:41:02";"442";"27";"E-03";"469";"91.6";
"9/28/2018 16:41:03";"442";"27";"4";"469";"91.6";
"9/28/2018 16:41:05";"441";"28";"4";"469";"91.5";
"9/28/2018 16:41:06";"440";"28";"4";"468";"91.5";
"9/28/2018 16:41:08";"439";"29";"4";"468";"91.5";
"9/28/2018 16:41:09";"439";"29";"4";"468";"91.6";
