
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/22/2018 16:04:05";"235";"168";"28";"403";"97.4";
"10/22/2018 16:04:06";"240";"166";"28";"406";"97.4";
"10/22/2018 16:04:07";"249";"163";"27";"408";"97.4";
"10/22/2018 16:04:08";"253";"161";"26";"414";"97.3";
"10/22/2018 16:04:09";"258";"159";"27";"417";"97.3";
"10/22/2018 16:04:10";"262";"157";"26";"419";"97.3";
"10/22/2018 16:04:11";"267";"156";"26";"423";"97.3";
"10/22/2018 16:04:12";"271";"154";"26";"425";"97.3";
"10/22/2018 16:04:13";"271";"153";"25";"424";"97.2";
"10/22/2018 16:04:14";"275";"151";"25";"426";"97.2";
"10/22/2018 16:04:15";"279";"151";"24";"430";"97.2";
"10/22/2018 16:04:17";"283";"149";"24";"432";"97.2";
"10/22/2018 16:04:18";"288";"148";"23";"436";"97.2";
"10/22/2018 16:04:19";"296";"144";"24";"438";"97.2";
"10/22/2018 16:04:20";"300";"143";"24";"443";"97.2";
"10/22/2018 16:04:21";"303";"141";"24";"444";"97.1";
"10/22/2018 16:04:22";"307";"140";"23";"447";"97.1";
"10/22/2018 16:04:23";"311";"138";"22";"449";"97.1";
"10/22/2018 16:04:24";"314";"137";"22";"451";"97.0";
"10/22/2018 16:04:25";"318";"135";"20";"453";"97.1";
"10/22/2018 16:04:26";"318";"135";"20";"453";"97.1";
"10/22/2018 16:04:28";"322";"132";"20";"454";"97.1";
"10/22/2018 16:04:29";"325";"130";"20";"455";"97.1";
"10/22/2018 16:04:30";"332";"129";"21";"458";"97.1";
"10/22/2018 16:04:31";"336";"127";"20";"463";"97.1";
"10/22/2018 16:04:32";"339";"126";"19";"465";"97.0";
"10/22/2018 16:04:33";"342";"124";"19";"466";"96.9";
"10/22/2018 16:04:34";"346";"123";"20";"469";"96.7";
"10/22/2018 16:04:35";"349";"121";"19";"470";"96.7";
"10/22/2018 16:04:36";"352";"120";"19";"472";"96.6";
"10/22/2018 16:04:37";"352";"119";"19";"471";"96.6";
"10/22/2018 16:04:38";"358";"117";"19";"475";"96.6";
"10/22/2018 16:04:40";"361";"116";"18";"477";"96.6";
"10/22/2018 16:04:41";"364";"113";"20";"478";"96.5";
"10/22/2018 16:04:42";"367";"112";"19";"480";"96.5";
